Année,Region,Pays,ISO3,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2017,Europe (hors France),Suisse,CHE,3054,803,58724.0,"226,9"
2017,France,France,FRA,41685,3749,1096625.0,"322,8"
2017,Pacifique,Australie,AUS,10015,2546,109817.0,"131,2"
2017,Pacifique,Autre Pacifique,,441,13,6991.0,"202,3"
2017,Pacifique,Cook,COK,354,88,3692.0,"112,1"
2017,Pacifique,Fidji,FJI,129,12,1726.0,"144,8"
2017,Pacifique,Nouvelle-Calédonie,NCL,4815,169,79724.0,"196,1"
2017,Pacifique,Nouvelle-Zélande,NZL,9392,1179,95532.0,"119,8"
2017,Pacifique,Samoa,WSM,71,3,1194.0,"177,4"
2017,Pacifique,Tonga,TON,25,0,276.0,"62,4"
2017,Proche et Moyen Orient,Proche et Moyen Orient,,594,51,6985.0,"141,7"
2016,Afrique,Afrique,,302,57,5513.0,"234,1"
2016,Amérique Centrale,Autre Amérique Centrale,,178,39,2188.0,"151,8"
2016,Amérique Centrale,Mexique,MEX,874,231,9268.0,129
2016,Amérique du Nord,Canada,CAN,6326,2810,80224.0,"156,1"
2016,Amérique du Nord,Hawaii,USA,2049,609,22933.0,"134,6"
2016,Amérique du Nord,USA,USA,65846,16856,629200.0,"114,7"
2016,Amérique du Sud,Argentine,ARG,2556,253,33299.0,"153,8"
2016,Amérique du Sud,Autre Amérique du Sud,,733,158,8661.0,142
2016,Amérique du Sud,Brésil,BRA,1516,221,16553.0,"132,9"
2016,Amérique du Sud,Chili,CHL,2027,233,23046.0,"134,5"
2016,Asie,Autre Asie,,82,18,1516.0,"272,4"
2016,Asie,Chine,CHN,5987,270,49281.0,"102,1"
2016,Asie,Corée du Sud,KOR,1170,44,9842.0,"102,5"
2016,Asie,Hong Kong,HKG,359,40,3593.0,"119,6"
2016,Asie,Inde,IND,637,33,4674.0,"86,4"
2016,Asie,Indonésie,IDN,214,156,3198.0,"259,9"
2016,Asie,Japon,JPN,12174,595,88094.0,"87,1"
2016,Asie,Malaisie,MYS,139,7,2268.0,"219,5"
2016,Asie,Philippines,PHL,163,115,1723.0,"145,5"
2016,Asie,Singapour,SGP,287,49,3108.0,"130,9"
2016,Asie,Taïwan,TWN,510,64,5416.0,"129,1"
2016,Asie,Thaïlande,THA,227,83,3017.0,"165,3"
2016,Europe (hors France),Allemagne,DEU,3951,1233,58346.0,"180,3"
2016,Europe (hors France),Autre Europe,,1513,291,19087.0,"153,2"
